size,cpus,time
400,10,0.0129522
800,10,0.0940748
1400,10,0.5863923
1000,10,0.6203885
1200,10,0.8354457
1600,10,3.4906147
2000,10,6.9249914
2600,10,29.0879555
3000,10,46.413758
3600,10,78.2136472
4000,10,102.3809247
5000,10,171.0231114
6000,10,249.6730743
7000,10,304.2951954
100,16,0.0026942
200,16,0.0038534
400,16,0.0118735
800,16,0.0875128
1200,16,0.2657212
1400,16,1.2062353
1600,16,2.8368772
1000,16,2.4843912
2000,16,11.025557
2600,16,26.8796069
3000,16,45.8832873
3600,16,83.5960409
4000,16,106.5696698
5000,16,170.8951154
6000,16,235.0918441
7000,16,278.953585
100,4,0.0019204
200,4,0.0035188
400,4,0.0243888
800,4,0.1983722
1000,4,0.3895791
1200,4,0.7928133
1400,4,3.3394592
1600,4,4.8025056
2000,4,13.612127
2600,4,38.0148322
3000,4,56.8948788
3600,4,87.6714206
4000,4,109.9960398
5000,4,177.3028126
6000,4,261.2777796
7000,4,376.7551283
100,1,0.0013059
200,1,0.01163
400,1,0.0890212
800,1,0.780758
1000,1,1.5458237
1200,1,2.7279649
1400,1,5.0410686
1600,1,8.0561974
2000,1,16.8284821
2600,1,49.3980354
3000,1,81.6552747
3600,1,130.6465869
4000,1,171.8250322
5000,1,358.7903827
6000,1,609.6324289
7000,1,1071.199362
100,2,0.0013001
200,2,0.0057602
400,2,0.0478657
800,2,0.4130528
1000,2,0.8632984
1200,2,1.5784923
1400,2,2.9433884
1600,2,4.840735
2000,2,11.2758281
2600,2,35.9203872
3000,2,55.4571336
3600,2,90.6747961
4000,2,117.1768588
5000,2,213.9956231
6000,2,349.6347356
7000,2,578.9031438
100,4,0.0020555
200,4,0.0052927
400,4,0.0244675
1000,4,0.6831391
1200,4,1.22169
800,4,0.5694186
1400,4,2.1837657
1600,4,5.0230326
2000,4,10.9371324
2600,4,32.7250642
3000,4,49.2686999
3600,4,84.5703078
4000,4,108.0595655
5000,4,177.6834146
6000,4,261.1740545
7000,4,373.6633119
100,8,0.0039863
200,8,0.0064285
800,8,0.1192812
1000,8,0.2954237
400,8,0.1877264
1200,8,0.4551469
1400,8,3.0530381
1600,8,4.5978011
2000,8,8.9990792
2600,8,36.4048284
3000,8,54.1284247
3600,8,92.4519264
4000,8,115.9585152
5000,8,192.0806451
6000,8,251.7638147
7000,8,307.1489599
100,10,0.0043807
200,10,0.0054299
400,10,0.1428092
800,10,0.2110181
1200,10,0.3189163
1000,10,0.3513792
1600,10,2.4507406
1400,10,2.8478574
2000,10,9.5215177
2600,10,30.1721822
3000,10,51.0054147
3600,10,83.1464614
4000,10,108.2293309
5000,10,178.2555736
6000,10,249.5788628
